"user","第1名","第2名","第3名","第4名","第5名"
"1-dj","Gemini","GPT-5","Claude Sonnet","Kimi","DeepSeek"
"111222333xxxx","GPT-4o","DeepSeek","Kimi","Gemini","Claude Sonnet"
"1122333666jjj","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"159368qwe","GPT-5","DeepSeek","Gemini","Kimi","GLM"
"1613208672lilei-dotcom","GPT-5","Gemini","DeepSeek","Kimi","Claude Sonnet"
"1712203708-a11y","Gemini","Gemini","GPT-5","DeepSeek","Kimi"
"18135600866","Gemini","GPT-4o","DeepSeek","Claude Sonnet","Kimi"
"19839671980","DeepSeek","GPT-5","GPT-5","GPT-4o","Claude Sonnet"
"2025303110006","GPT-4o","Gemini","DeepSeek","Kimi","Claude Sonnet"
"2025WL","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"20260305",NA,"Gemini","Kimi","DeepSeek",NA
"20WPL","Qwen","Gemini","DeepSeek","GPT-5","Claude Opus"
"30-niu","Gemini","GPT-4o","Kimi","DeepSeek",NA
"31omp",NA,"Gemini","GPT-5","Claude Opus","DeepSeek"
"619890876-lgtm","Gemini","GPT-5","DeepSeek","Kimi","Qwen"
"6622339","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"AO-wj","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"APFSDS-HE",NA,NA,"Gemini","Claude Sonnet","GPT-5"
"ARSEN-4321","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"Abudula-Aizezi","Claude Sonnet","Gemini","DeepSeek","Qwen",NA
"Ahatm","Gemini","GPT-4o","Kimi","DeepSeek",NA
"Andy-95277259","Gemini","GPT-4o","Claude Sonnet","Kimi","DeepSeek"
"BILLDOU","Gemini","GPT-4o","Claude Sonnet","DeepSeek","Kimi"
"BINGWANYANG","GPT-5","GLM","GPT-4o","GPT-5","GPT-5"
"Ban-bit","GPT-5","Gemini","DeepSeek","Kimi","Claude 3"
"Bao-cell","Gemini","GPT-4o","Kimi","Claude Sonnet","DeepSeek"
"Bijiayu-yyds","GPT-5","Claude Sonnet","DeepSeek","Qwen","Kimi"
"Britney-128","Gemini","DeepSeek",NA,"Kimi","GPT-5"
"CANGSU-mei","GPT-4o","Claude Sonnet","DeepSeek","Gemini","Kimi"
"CXWYWG","Gemini","GPT-4o","Kimi","Grok","DeepSeek"
"CYY386","Claude 3","GPT-4o","DeepSeek","Qwen","Gemini"
"CarlCampbellus","Qwen","Gemini","Kimi","DeepSeek",NA
"Ccwwjia-032","Gemini","GPT-4o","Claude Sonnet","Kimi","DeepSeek"
"ChenYu-7317","Gemini","DeepSeek","GPT-4o","Kimi","Claude 3"
"ChenZhuo-hz","GPT-5","Claude Sonnet","Gemini","DeepSeek","Kimi"
"Chenht111","Gemini","GPT-4o","Qwen","Claude Sonnet","Kimi"
"CishuiMoon","GPT-4o","Gemini","DeepSeek","Kimi","Claude Sonnet"
"Cuiys123","Gemini","Kimi",NA,"GPT-4o","DeepSeek"
"DUYongqi0116","GPT-4o","Claude Sonnet",NA,NA,NA
"DYRRRRUI","Gemini","Claude Sonnet","DeepSeek","GPT-4o","Kimi"
"Dear-meng","Kimi","Gemini","Claude Sonnet","DeepSeek","GPT-5"
"Dhjsmart","GPT-4o","Claude 3","Gemini","DeepSeek","Kimi"
"Doloressss770","Gemini","GPT-5","Grok","Claude Opus","GPT-5"
"Downey888","GPT-4o","Gemini","DeepSeek","Kimi","Claude Sonnet"
"DragonBron23","Gemini","Kimi","GPT-4o","DeepSeek","Qwen"
"EIO-lyr","GPT-5","Gemini","DeepSeek","Claude Sonnet","Kimi"
"FYY0130","Claude Opus","Gemini","Grok","GPT-5",NA
"FangYuan-Miao","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"Firezyyy","Gemini","GPT-5","DeepSeek","Claude Sonnet","Qwen"
"Fish-star-liu","Gemini","GPT-4o","DeepSeek","Claude Sonnet",NA
"Fu-cole","Qwen","Gemini","DeepSeek","GPT-5","Claude Opus"
"Fuguiera11y","GPT-4o","Gemini","Gemini","GPT-5","GPT-5"
"GS-Liang","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"Gao-Jinhua","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"Gladsxzhou",NA,"Gemini",NA,"DeepSeek","Qwen"
"GuXiang0730","DeepSeek","Kimi","Gemini","GPT-5","GPT-4o"
"HIMENO873","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"HY-hyyyy","Gemini","GPT-4o","DeepSeek","Kimi","Claude Sonnet"
"Hackysaw","GPT-5","DeepSeek","Qwen","Claude Sonnet","Gemini"
"Hu-liye","Gemini","GPT-4o","Claude 3","DeepSeek","Kimi"
"Iris-ty193","GPT-4o",NA,"Gemini","DeepSeek","Kimi"
"JIAOjiao0504","Kimi","Gemini","DeepSeek","Claude Sonnet","GPT-4o"
"JZHEN03625","Gemini","Qwen","DeepSeek","GPT-5","Kimi"
"Janney-huang","Gemini","DeepSeek","Kimi","GPT-4o","Claude Sonnet"
"Jiang-yu-yang","Claude Sonnet","DeepSeek","Gemini","GPT-5","Kimi"
"JiangYida666","Gemini","Kimi","GPT-5","Qwen","DeepSeek"
"Jiesun-star","Gemini","Kimi","DeepSeek","DeepSeek","GPT-5"
"Jyyy12138","Gemini","Gemini","Claude Sonnet","GPT-5","GPT-5"
"KANGJINGWEN0803","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"KeV1n03","Gemini","DeepSeek","Kimi","Qwen","GPT-4o"
"Kongruyuan","GPT-4o","Gemini","Kimi","Qwen","DeepSeek"
"LGQ559492","Kimi","GPT-5","Gemini","DeepSeek","DeepSeek"
"LLLJY-ljy","Gemini","GPT-4o","DeepSeek","Kimi","Claude Sonnet"
"LLLLLinin","Kimi","Claude Sonnet","DeepSeek","GPT-4o","Gemini"
"LQY123-Sketch","DeepSeek",NA,"Kimi",NA,"GLM"
"LZT56","Gemini","Gemini","GPT-5","GPT-4o","Kimi"
"Lc898","Gemini","GPT-4o","Kimi","DeepSeek",NA
"Leo-hub123","Gemini","Kimi","DeepSeek","GPT-4o","Qwen"
"LiBoFei1129","GPT-4o","Claude 3","Kimi","Gemini","DeepSeek"
"Lihn20030201","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"LingerYU",NA,"Gemini",NA,"DeepSeek","Kimi"
"Linyunyun123","GPT-4o","Gemini","Kimi","Claude Sonnet","DeepSeek"
"Liujunruo","Gemini","DeepSeek","Kimi","GPT-4o",NA
"Liuqian615","Gemini","GPT-5","Kimi","DeepSeek","Claude Sonnet"
"Liuxinrui926",NA,"Kimi",NA,NA,"GPT-4"
"Liuxinya0801","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"Ljy-cell429","GPT-5","Claude Opus","Gemini","DeepSeek","Qwen"
"Luxiaolu330","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"Lvshu118","Claude Sonnet","GPT-4o","Qwen","DeepSeek","Kimi"
"Lzy-NICE","GPT-5","Gemini","DeepSeek","Kimi","Claude Sonnet"
"MFWWW","GPT-5","Gemini","DeepSeek","Kimi",NA
"MHFDH","GPT-4","Gemini","Claude Sonnet","DeepSeek","Kimi"
"Maikexin","Claude Opus","GPT-5","DeepSeek","Gemini",NA
"Mayshn","DeepSeek","Gemini","Kimi",NA,"Claude 3"
"Mei0416","GPT-5","DeepSeek","GPT-4o","Kimi","GPT-5"
"Mengyuxin224","DeepSeek",NA,"Kimi","Qwen","GPT-5"
"Mingyi-SUN","Claude Sonnet","GPT-5","Kimi","GPT-5","Gemini"
"Neflibata0627","GPT-5","GPT-5","DeepSeek","Claude 3","Gemini"
"Niu0306419","Gemini","Kimi","Claude Sonnet","DeepSeek","GPT-4"
"Olivia-yao710","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"Q110112","GPT-5","DeepSeek","Gemini","DeepSeek","Kimi"
"Qhaiyu777","Gemini","GPT-4o",NA,NA,"Kimi"
"Qin1310","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"Qinova02","GPT-5","Gemini","Claude Sonnet","DeepSeek","Kimi"
"RalphBaejeongWong",NA,"GPT-4o","Gemini","Kimi","DeepSeek"
"Ray111-Arch","Gemini","GPT-4o","DeepSeek","Kimi","Claude Sonnet"
"RenYuan916","Gemini","GPT-4o","Kimi","DeepSeek",NA
"Rrhly","Gemini","Qwen","Kimi","DeepSeek","GPT-5"
"SHELLY203","GPT-5","Gemini","DeepSeek","Kimi",NA
"SHUZHIQI","GPT-5","DeepSeek","Claude 3","Gemini","Qwen"
"Shiwen-Yue","GPT-5","Gemini","DeepSeek","Claude Sonnet","Qwen"
"Swb123-star","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"Tuyuhan",NA,"Gemini",NA,"Kimi","DeepSeek"
"Tziyu125","Gemini","GPT-4o",NA,"Kimi","DeepSeek"
"WANGSpecial","DeepSeek","GPT-5","Gemini","Claude Sonnet","Kimi"
"WYR1016","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"WZH-303110125","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"Wang-source-boop","Gemini","Claude 3","GPT-5","GPT-5","Gemini"
"Wangchenyang321","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"XMZ183","GLM","Qwen","Gemini","Claude 3","Kimi"
"Xczx1000","Claude Sonnet","GPT-4o","Gemini","DeepSeek","Kimi"
"Xing0630","Claude Opus","Gemini","Grok","GPT-5",NA
"XuZQ-come","Gemini","Claude 3","Gemini","GPT-5","GPT-4o"
"Xushining1220","Gemini","DeepSeek","Kimi","GPT-4o","Claude Sonnet"
"YR-yyy","Qwen","Gemini","DeepSeek","GPT-5","Claude Opus"
"YYT0511","Gemini","Claude Sonnet","DeepSeek","GPT-4o","Kimi"
"YangMiaoSi","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"Yangjiahao1234","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"Yu-yuyuy","GPT-5","Claude Sonnet","Gemini","DeepSeek","Kimi"
"Yunhhhsheng","Gemini","GPT-4o","Claude Sonnet","DeepSeek","Kimi"
"ZHGlory","GPT-5","Claude Sonnet","Gemini","DeepSeek","Kimi"
"ZZY-423","GPT-4",NA,NA,"Kimi",NA
"Zhang-JunH","GPT-5","Claude Opus","Kimi","DeepSeek","GLM"
"Zhang-ym-ing","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"Zhu-123-er","Gemini","Claude Sonnet","Kimi","DeepSeek","GPT-4"
"Zukoin","Gemini","GPT-5","Kimi","DeepSeek","Claude Sonnet"
"abcdefg123803","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"aixfang-two","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"boyfriend-svg","DeepSeek","GPT-5","Gemini","Grok","Grok"
"broucemonkey-stack","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"c-duoduo","Gemini","GPT-5","DeepSeek","Kimi","DeepSeek"
"caoyao-03","Gemini","GPT-5","DeepSeek","Claude Sonnet","Kimi"
"cgcgtfy","Gemini","Kimi","DeepSeek","Claude Opus","GPT-4o"
"chen11810","Gemini","GPT-5","DeepSeek","Gemini","Kimi"
"chenbingyu-HZAU","GPT-5","Gemini","Kimi",NA,"DeepSeek"
"cito37","Gemini","GPT-5","DeepSeek","Qwen","Kimi"
"cjd-alt","Gemini","GPT-5","Kimi","DeepSeek","Claude Sonnet"
"cuut123","GPT-5","Gemini","Claude Sonnet","DeepSeek","Qwen"
"cvvcI","Gemini","DeepSeek","Kimi","GPT-5","Qwen"
"cx20263333333","Gemini","GPT-4o","DeepSeek","Kimi","Claude Sonnet"
"cyx-coco","Gemini","GPT-5","DeepSeek","Qwen","Kimi"
"cyxxx101","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"dadfr","Gemini","GPT-5","Claude Sonnet","DeepSeek","Kimi"
"ddjspx","GPT-5","Kimi","GLM","Qwen","DeepSeek"
"den-160","Gemini","Kimi",NA,NA,"GPT-4"
"dilikelei01","Claude Sonnet","Kimi","DeepSeek","Gemini","GPT-4o"
"dinglsnow","Gemini","Kimi","GPT-5","Claude Sonnet","DeepSeek"
"dlliang2026","DeepSeek","Kimi","Gemini","GPT-5","GPT-4o"
"dongshuai9331","GPT-5","Gemini","Claude Sonnet","DeepSeek","Qwen"
"doujiayi-2025","GPT-5","Gemini","DeepSeek","Kimi","GPT-4o"
"duyankun","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"erwin214","GPT-5","Claude 3","Qwen","DeepSeek","GPT-4o"
"flovar","GPT-4o","Gemini","Kimi","DeepSeek","Claude Sonnet"
"fza20030825-star","GPT-4o","Gemini","Gemini","MiniMax","DeepSeek"
"gaoxinling","GPT-4o","Claude Sonnet","Gemini","Kimi","DeepSeek"
"geiut","GPT-4","Gemini","Claude Sonnet","DeepSeek","Kimi"
"geyuqing3-stack","GPT-5","Gemini","DeepSeek","Qwen","Grok"
"gudashuai6","GPT-5","Gemini","Claude 3","Kimi","DeepSeek"
"guoyouyan391-maker","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"h7233081","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"haochen-co","Qwen","Gemini","DeepSeek","GPT-5","GPT-4o"
"haoqi159","GPT-5","Gemini","Kimi","DeepSeek",NA
"hcy20030822","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"helloworld2060","Gemini","GPT-5","DeepSeek","GPT-4o","Claude Sonnet"
"herb1124","GPT-5","Gemini","GPT-5","Kimi","DeepSeek"
"hewen717478","Kimi","Gemini","GLM","Claude 3","Qwen"
"hirasauayui","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"hongyu929","Kimi","Gemini","DeepSeek","GPT-4o","Claude Sonnet"
"houkunjun","Gemini","DeepSeek","Kimi","GPT-4o","Claude Sonnet"
"huangcan-1","Kimi","GPT-4o","DeepSeek","Claude Sonnet","Gemini"
"huanyu8",NA,NA,NA,"Kimi","DeepSeek"
"hxm0123","Gemini","Kimi",NA,"GPT-4o","DeepSeek"
"hzau-wujing","Claude Sonnet","Kimi","Gemini","DeepSeek","GPT-4o"
"hzauShixin","Gemini","GPT-5","Grok","Claude Opus","GPT-5"
"hzs12","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"jiaoliu425","Claude Opus","GPT-5","Gemini","Kimi","Qwen"
"jijiahui02","Gemini","GPT-5","DeepSeek","Claude Sonnet","Kimi"
"justleap-amdd","GLM","Qwen","Kimi","GPT-5","Claude Sonnet"
"kajolliangeliki857-cpu","Gemini","Gemini","Kimi","DeepSeek",NA
"kskbl-CXY","GPT-5","Claude Sonnet","Gemini","DeepSeek","Kimi"
"kzdpgy","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"l110095","Gemini","GPT-4o","GPT-5","Kimi","Claude Sonnet"
"laopyoutiao","Claude Sonnet","DeepSeek","Gemini","Kimi","GPT-5"
"lcx920","DeepSeek","Kimi","Gemini","GPT-4o","Claude Sonnet"
"lijj2K","GPT-5","Gemini","Kimi","DeepSeek","Claude Opus"
"liming030523","Claude Sonnet","GPT-4o","Kimi","DeepSeek","Gemini"
"lirumeng-mary","GPT-5","GPT-5","Claude Sonnet","DeepSeek","Gemini"
"liuhui0411","Gemini","Claude Sonnet","Kimi","DeepSeek","GPT-4o"
"liyanfeng123","GPT-5","Claude Sonnet","Gemini","Kimi","DeepSeek"
"lll-liwen","Gemini","GPT-5","DeepSeek","Qwen","Claude Sonnet"
"lll4123","Gemini","Claude Sonnet","Kimi","DeepSeek","GPT-4"
"logicyyh","Gemini","GPT-5","DeepSeek","Kimi","Qwen"
"longxi112","GPT-5","Gemini","Claude Sonnet","DeepSeek","Kimi"
"luWheeler","Gemini","Claude Opus","GPT-5","Qwen","DeepSeek"
"luoqiuqiu123","Gemini","DeepSeek","Kimi","GPT-4o","Claude Sonnet"
"lvye-maker","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"ly9495","GPT-5","DeepSeek","Kimi","Gemini","Qwen"
"lym7755","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"mamingwei2026","Gemini","DeepSeek","GPT-5","Claude 3","Kimi"
"mazhihui-star","Gemini","Kimi","GPT-5","Claude Sonnet","DeepSeek"
"meilin090","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"nanlingZXY","Grok","Gemini","GPT-5","DeepSeek","Kimi"
"nicek4267-max","GPT-5","Gemini","Claude Sonnet","DeepSeek","Kimi"
"nie-3","Gemini","GPT-4o","DeepSeek","Claude Sonnet","Kimi"
"nilongaixuexi66","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"ningdanzhang","GPT-5","DeepSeek","Claude 3","Gemini","Qwen"
"niuideal","GPT-5","Gemini","DeepSeek","Claude Opus","Grok"
"niun8108-boop","Claude 3","Gemini","DeepSeek","DeepSeek","GPT-5"
"okbk130","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"oufangfang1209","GPT-5","Gemini","Claude Sonnet","DeepSeek","Kimi"
"oyang666","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"pidan431",NA,"Gemini",NA,"DeepSeek","Qwen"
"q234-coder","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"qiaoling-X","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"qinghuaZhang-prog","Gemini","Gemini","GPT-4o","DeepSeek",NA
"renpeng-rp916","Gemini","Claude Opus","DeepSeek","GPT-5","Kimi"
"shenwenjun111","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"shi-mlml","Claude Sonnet","DeepSeek","GPT-5","Gemini","GPT-5"
"shiwanting0204","GPT-4o","Gemini","DeepSeek","Claude Sonnet","Kimi"
"shiyikai666","Gemini","Claude Sonnet","Kimi","DeepSeek","GPT-4o"
"shuyan-yang326","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"solitude879","Gemini","GPT-4o","Kimi","DeepSeek","Claude Sonnet"
"taro-2026","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"tujunyi124","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"tzy311","DeepSeek","Gemini","Kimi",NA,"Claude 3"
"unique520521","GPT-4",NA,"Kimi","DeepSeek","Gemini"
"very6jia1","Gemini","GPT-5","Kimi","DeepSeek","Claude Sonnet"
"wangbin98765432100-pixel","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"wangxuan24","GPT-5","Claude 3","GLM","GPT-4o","GPT-5"
"wblai","Kimi","Gemini","Qwen","GLM","Claude 3"
"weiwe0829-creator","GPT-4o",NA,"Gemini",NA,NA
"welljie12138","GPT-5","GPT-5","Gemini","Claude Sonnet",NA
"wenyujia2003","Kimi","DeepSeek","Gemini","GPT-4o","GPT-5"
"winn-coder","Gemini","GPT-5","DeepSeek","Claude Sonnet","Kimi"
"winter0120","DeepSeek","Claude Sonnet","Kimi","Gemini","GPT-5"
"wovej","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"wumingzhou1216","GPT-5","GPT-5","GPT-4o",NA,"Kimi"
"xiaozz-zl",NA,NA,NA,"Kimi","DeepSeek"
"xihongshi2021","Gemini","GPT-5","DeepSeek","Kimi","Grok"
"xinyuzhu-lang","GPT-4o","Gemini","Kimi","DeepSeek","Claude Sonnet"
"xyj666357","GPT-5","Gemini","Claude 3","DeepSeek","Kimi"
"yanggang-0304","Gemini","GPT-4o","Claude Sonnet","Kimi","DeepSeek"
"yaya2026","Gemini","Kimi","GPT-5","DeepSeek","Grok"
"yb9966","Kimi","Claude Sonnet","Gemini","DeepSeek","GPT-4o"
"yeelike","GPT-4o","Gemini","Kimi","Claude Haiku","DeepSeek"
"yftao0106-droid","GPT-4","Gemini","DeepSeek","Kimi","Claude Sonnet"
"yisar","Gemini","GPT-4o","Claude Sonnet","DeepSeek","Kimi"
"ymr10","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"yolo0-0",NA,"Kimi","DeepSeek","DeepSeek",NA
"yooyoo2","Claude Sonnet","Kimi","GLM","DeepSeek","GPT-5"
"yu-jiangjinag","Gemini","Claude 3","GPT-5","GPT-5","Kimi"
"yunokaaa","Gemini","GPT-5","Claude 3","Kimi",NA
"yunyuntiantian","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"yuqi-1209","Grok","GPT-4","DeepSeek","GPT-5","Claude Opus"
"yuyuyu93764","Gemini","DeepSeek","Claude Sonnet","Kimi","GPT-4o"
"zh-ang-jing","GPT-4o","DeepSeek","Claude Sonnet","GPT-5","GPT-5"
"zhangpuxian","GPT-4o","Gemini","Claude Sonnet","DeepSeek","Kimi"
"zhangyuxiang04","GPT-5","Gemini","DeepSeek","Kimi","Claude Sonnet"
"zhengdispecial","GPT-4o",NA,"Gemini","DeepSeek","Kimi"
"zhengzhenghuhuhu","Gemini","DeepSeek","Kimi","GPT-4o","Claude Sonnet"
"zhixuan-zhang767","Gemini","GPT-4o","DeepSeek","Kimi","Claude Sonnet"
"zhiyuanli-beep","Gemini","Gemini","Claude 3","GPT-5","Grok"
"zhoushige666-crypto","Gemini","GPT-4o","DeepSeek","Claude Sonnet","Kimi"
"zhuxinglin8","Gemini","GPT-5","Kimi","DeepSeek","Claude Sonnet"
"zj0022","GPT-4o","Gemini","Claude Sonnet","Kimi","DeepSeek"
"zlznevergu","GPT-5",NA,"Gemini","DeepSeek",NA
"zry0309","Claude Sonnet","DeepSeek","Gemini","Kimi","GPT-5"
"zxy189","GPT-5","Gemini","Kimi",NA,NA
"zy076","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"zzzzz0928","GPT-5","Gemini","Claude Sonnet","DeepSeek","Qwen"
